Main,Middle,Sub,Main,Middle,Sub,Central,Unfiltered,Description,DatapointType,Security
,,L_EG_R.00.01_04_Schalten_1B,1,0,58,,,Wohnen|Essen|Kochen 58,,
,,L_EG_R.00.01_04_Treppenlicht_1B,1,0,59,,,Wohnen|Essen|Kochen 59,,
,,L_EG_R.00.01_04_Service_erforderlich_1B,1,0,60,,,Wohnen|Essen|Kochen 60,,
,,L_EG_R.00.01_04_Schaltimpuls_1B,1,0,61,,,Wohnen|Essen|Kochen 61,,
,,L_EG_R.00.01_04_Sperren_1B,1,0,62,,,Wohnen|Essen|Kochen 62,,
,,L_EG_R.00.01_04_Zeit_bis_nächsten_Service_2By_4By,1,0,63,,,Wohnen|Essen|Kochen 63,,
,,L_EG_R.00.01_04_Betriebsstunden_RM_2By_4By,1,0,64,,,Wohnen|Essen|Kochen 64,,
,,L_EG_R.00.01_04_Treppenlicht_mit_Zeit_1By,1,0,65,,,Wohnen|Essen|Kochen 65,,
,,L_EG_R.00.01_04_Vorwarnen_1B,1,0,66,,,Wohnen|Essen|Kochen 66,,
,,L_EG_R.00.01_04_Betriebsstunden_Reset_1B,1,0,67,,,Wohnen|Essen|Kochen 67,,
,,L_EG_R.00.01_04_Servicemeldung_Reset_1B,1,0,68,,,Wohnen|Essen|Kochen 68,,
,,L_EG_R.00.01_04_Zwangsführung_2B,1,0,69,,,Wohnen|Essen|Kochen 69,,
,,L_EG_R.00.01_04_Priorität_1B,1,0,70,,,Wohnen|Essen|Kochen 70,,
,,L_EG_R.00.01_04_Szene_1By,1,0,71,,,Wohnen|Essen|Kochen 71,,
,,L_EG_R.00.01_04_Status_1B,1,0,72,,,Wohnen|Essen|Kochen 72,,
,,L_EG_R.00.01_04_Status_invertiert_1B,1,0,73,,,Wohnen|Essen|Kochen 73,,
,,L_EG_R.00.01_04_Schwellwertschalter_1By_2By,1,0,74,,,Wohnen|Essen|Kochen 74,,
,,L_EG_R.00.01_04_Logik_1_1B,1,0,75,,,Wohnen|Essen|Kochen 75,,
,,L_EG_R.00.01_04_Logik_2_1B,1,0,76,,,Wohnen|Essen|Kochen 76,,
,,L_EG_R.00.02_01_Schalten_1B,1,0,77,,,WC Gast 77,,
,,L_EG_R.00.02_01_Treppenlicht_1B,1,0,78,,,WC Gast 78,,
,,L_EG_R.00.02_01_Service_erforderlich_1B,1,0,79,,,WC Gast 79,,
,,L_EG_R.00.02_01_Schaltimpuls_1B,1,0,80,,,WC Gast 80,,
,,L_EG_R.00.02_01_Sperren_1B,1,0,81,,,WC Gast 81,,
,,L_EG_R.00.02_01_Zeit_bis_nächsten_Service_2By_4By,1,0,82,,,WC Gast 82,,
,,L_EG_R.00.02_01_Betriebsstunden_RM_2By_4By,1,0,83,,,WC Gast 83,,
,,L_EG_R.00.02_01_Treppenlicht_mit_Zeit_1By,1,0,84,,,WC Gast 84,,
,,L_EG_R.00.02_01_Vorwarnen_1B,1,0,85,,,WC Gast 85,,
,,L_EG_R.00.02_01_Betriebsstunden_Reset_1B,1,0,86,,,WC Gast 86,,
,,L_EG_R.00.02_01_Servicemeldung_Reset_1B,1,0,87,,,WC Gast 87,,
,,L_EG_R.00.02_01_Zwangsführung_2B,1,0,88,,,WC Gast 88,,
,,L_EG_R.00.02_01_Priorität_1B,1,0,89,,,WC Gast 89,,
,,L_EG_R.00.02_01_Szene_1By,1,0,90,,,WC Gast 90,,
,,L_EG_R.00.02_01_Status_1B,1,0,91,,,WC Gast 91,,
,,L_EG_R.00.02_01_Status_invertiert_1B,1,0,92,,,WC Gast 92,,
,,L_EG_R.00.02_01_Schwellwertschalter_1By_2By,1,0,93,,,WC Gast 93,,
,,L_EG_R.00.02_01_Logik_1_1B,1,0,94,,,WC Gast 94,,
,,L_EG_R.00.02_01_Logik_2_1B,1,0,95,,,WC Gast 95,,
,,L_EG_R.00.02_02_Schalten_1B,1,0,96,,,WC Gast 96,,
,,L_EG_R.00.02_02_Treppenlicht_1B,1,0,97,,,WC Gast 97,,
,,L_EG_R.00.02_02_Service_erforderlich_1B,1,0,98,,,WC Gast 98,,
,,L_EG_R.00.02_02_Schaltimpuls_1B,1,0,99,,,WC Gast 99,,
,,L_EG_R.00.02_02_Sperren_1B,1,0,100,,,WC Gast 100,,
,,L_EG_R.00.02_02_Zeit_bis_nächsten_Service_2By_4By,1,0,101,,,WC Gast 101,,
,,L_EG_R.00.02_02_Betriebsstunden_RM_2By_4By,1,0,102,,,WC Gast 102,,
,,L_EG_R.00.02_02_Treppenlicht_mit_Zeit_1By,1,0,103,,,WC Gast 103,,
,,L_EG_R.00.02_02_Vorwarnen_1B,1,0,104,,,WC Gast 104,,
,,L_EG_R.00.02_02_Betriebsstunden_Reset_1B,1,0,105,,,WC Gast 105,,
,,L_EG_R.00.02_02_Servicemeldung_Reset_1B,1,0,106,,,WC Gast 106,,
,,L_EG_R.00.02_02_Zwangsführung_2B,1,0,107,,,WC Gast 107,,
,,L_EG_R.00.02_02_Priorität_1B,1,0,108,,,WC Gast 108,,
,,L_EG_R.00.02_02_Szene_1By,1,0,109,,,WC Gast 109,,
,,L_EG_R.00.02_02_Status_1B,1,0,110,,,WC Gast 110,,
,,L_EG_R.00.02_02_Status_invertiert_1B,1,0,111,,,WC Gast 111,,
,,L_EG_R.00.02_02_Schwellwertschalter_1By_2By,1,0,112,,,WC Gast 112,,
,,L_EG_R.00.02_02_Logik_1_1B,1,0,113,,,WC Gast 113,,
,,L_EG_R.00.02_02_Logik_2_1B,1,0,114,,,WC Gast 114,,
,,L_EG_R.00.03_01_Schalten_1B,1,0,115,,,Flur|Garderobe 115,,
,,L_EG_R.00.03_01_Treppenlicht_1B,1,0,116,,,Flur|Garderobe 116,,
,,L_EG_R.00.03_01_Service_erforderlich_1B,1,0,117,,,Flur|Garderobe 117,,
,,L_EG_R.00.03_01_Schaltimpuls_1B,1,0,118,,,Flur|Garderobe 118,,
,,L_EG_R.00.03_01_Sperren_1B,1,0,119,,,Flur|Garderobe 119,,
,,L_EG_R.00.03_01_Zeit_bis_nächsten_Service_2By_4By,1,0,120,,,Flur|Garderobe 120,,
,,L_EG_R.00.03_01_Betriebsstunden_RM_2By_4By,1,0,121,,,Flur|Garderobe 121,,
,,L_EG_R.00.03_01_Treppenlicht_mit_Zeit_1By,1,0,122,,,Flur|Garderobe 122,,
,,L_EG_R.00.03_01_Vorwarnen_1B,1,0,123,,,Flur|Garderobe 123,,
,,L_EG_R.00.03_01_Betriebsstunden_Reset_1B,1,0,124,,,Flur|Garderobe 124,,
,,L_EG_R.00.03_01_Servicemeldung_Reset_1B,1,0,125,,,Flur|Garderobe 125,,
,,L_EG_R.00.03_01_Zwangsführung_2B,1,0,126,,,Flur|Garderobe 126,,
,,L_EG_R.00.03_01_Priorität_1B,1,0,127,,,Flur|Garderobe 127,,
,,L_EG_R.00.03_01_Szene_1By,1,0,128,,,Flur|Garderobe 128,,
,,L_EG_R.00.03_01_Status_1B,1,0,129,,,Flur|Garderobe 129,,
,,L_EG_R.00.03_01_Status_invertiert_1B,1,0,130,,,Flur|Garderobe 130,,
,,L_EG_R.00.03_01_Schwellwertschalter_1By_2By,1,0,131,,,Flur|Garderobe 131,,
,,L_EG_R.00.03_01_Logik_1_1B,1,0,132,,,Flur|Garderobe 132,,
,,L_EG_R.00.03_01_Logik_2_1B,1,0,133,,,Flur|Garderobe 133,,
,,L_EG_R.00.04_01_Schalten_1B,1,0,134,,,HAR|HWR 134,,
,,L_EG_R.00.04_01_Treppenlicht_1B,1,0,135,,,HAR|HWR 135,,
,,L_EG_R.00.04_01_Service_erforderlich_1B,1,0,136,,,HAR|HWR 136,,
,,L_EG_R.00.04_01_Schaltimpuls_1B,1,0,137,,,HAR|HWR 137,,
,,L_EG_R.00.04_01_Sperren_1B,1,0,138,,,HAR|HWR 138,,
,,L_EG_R.00.04_01_Zeit_bis_nächsten_Service_2By_4By,1,0,139,,,HAR|HWR 139,,
,,L_EG_R.00.04_01_Betriebsstunden_RM_2By_4By,1,0,140,,,HAR|HWR 140,,
